,Politics,,,,,,,Economy,,,,,,,Society,,,,,
Rank,ControlofCorruption,PoliticalStability,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,VoiceandAccountability,Comprehensive,GDP per capita,GDP growth,debt index,Inflation rate,fiscal balance,trade index,Comprehensive,unemployment,School enrollment,Life expectancy,Intentional homicides,gini index,Comprehensive
1,Denmark,Luxembourg,Finland,Netherlands,Finland,Norway,Norway,Luxembourg,Ethiopia,Guatemala,Switzerland,Norway,"Venezuela, RB",Luxembourg,Thailand,Greece,Switzerland,Costa Rica,Slovenia,Greece
2,Finland,Iceland,Denmark,Finland,Norway,Denmark,Finland,Norway,China,Switzerland,Belize,West Bank and Gaza,Nicaragua,Ireland,Vietnam,"Korea, Rep.",Iceland,Brazil,Slovak Republic,Australia
3,Sweden,Finland,Luxembourg,Australia,Denmark,Sweden,Switzerland,Switzerland,Azerbaijan,Burkina Faso,Sweden,Azerbaijan,Chile,Switzerland,Benin,Australia,Italy,"Venezuela, RB",Ukraine,"Korea, Rep."
4,Norway,Switzerland,Sweden,Denmark,Sweden,Finland,Luxembourg,Ireland,Tajikistan,Indonesia,Finland,Kazakhstan,Guatemala,Norway,Belarus,Finland,Spain,Jamaica,Denmark,Argentina
5,Switzerland,Norway,Switzerland,Luxembourg,Switzerland,Switzerland,Denmark,Denmark,Rwanda,Morocco,France,"Korea, Rep.",Zambia,United States,Tanzania,United States,Australia,Dominican Republic,Belarus,Latvia
6,Netherlands,Malta,Netherlands,Sweden,Austria,Luxembourg,Sweden,Iceland,Lao PDR,Botswana,Cyprus,Luxembourg,Kazakhstan,Denmark,Lao PDR,Slovenia,Sweden,Guatemala,Norway,Spain
7,Iceland,Sweden,Iceland,United Kingdom,Luxembourg,Netherlands,Netherlands,United States,Mongolia,El Salvador,Germany,Russian Federation,Mongolia,Iceland,Burundi,Belarus,France,Honduras,Azerbaijan,Finland
8,Luxembourg,Austria,Belgium,Canada,Netherlands,Canada,Iceland,Sweden,Uzbekistan,Tunisia,Ireland,Denmark,Niger,Sweden,Malawi,Spain,Israel,Belize,Finland,Cyprus
9,Canada,Ireland,Austria,Switzerland,Canada,Iceland,Canada,Australia,Vietnam,Canada,Israel,Uzbekistan,Peru,Netherlands,Moldova,Norway,Norway,Uganda,Iceland,Netherlands
10,Australia,Canada,Canada,Ireland,Australia,Australia,Australia,Netherlands,Djibouti,Estonia,Denmark,Cameroon,Nigeria,Australia,Bhutan,Denmark,Canada,Cyprus,Sweden,Chile
112,Lao PDR,"Venezuela, RB","Venezuela, RB",Guinea,Guatemala,Ethiopia,Pakistan,Burkina Faso,Denmark,France,Zambia,Ghana,Philippines,Peru,Montenegro,Burkina Faso,Malawi,Hungary,Bolivia,Pakistan
113,Bangladesh,Guinea,Guinea,Lao PDR,Kyrgyz Republic,Azerbaijan,Guinea,Togo,Netherlands,Ukraine,Nigeria,Greece,Lesotho,Botswana,Botswana,Madagascar,Guinea,Zambia,Paraguay,Zambia
114,Cameroon,Philippines,Bosnia and Herzegovina,Ethiopia,Cameroon,Eswatini,Mali,Rwanda,United Kingdom,Croatia,Ghana,United States,West Bank and Gaza,Tunisia,West Bank and Gaza,Zambia,Zambia,Romania,Guatemala,Mozambique
115,Kyrgyz Republic,Bangladesh,Guinea-Bissau,Burundi,Nigeria,Vietnam,Guinea-Bissau,Guinea-Bissau,Germany,Zambia,Uzbekistan,Jordan,Guinea-Bissau,Panama,Djibouti,Guinea-Bissau,Burkina Faso,Latvia,Panama,Rwanda
116,Uzbekistan,Colombia,Nigeria,Tajikistan,Tajikistan,"Iran, Islamic Rep.",Tajikistan,Mozambique,Spain,United States,Malawi,Sri Lanka,Luxembourg,India,Lesotho,Djibouti,Mali,Colombia,Honduras,Honduras
117,Nigeria,Ethiopia,Uzbekistan,Guinea-Bissau,Burundi,Tajikistan,Nigeria,Niger,France,United Kingdom,Ethiopia,Burundi,Moldova,Bolivia,South Africa,Burundi,Guinea-Bissau,Uzbekistan,Colombia,Botswana
118,Burundi,Burundi,Paraguay,Belarus,Uzbekistan,Belarus,Cameroon,Ethiopia,Portugal,Ireland,Guinea,"Venezuela, RB",Madagascar,Belize,Bosnia and Herzegovina,Tanzania,Mozambique,Bulgaria,Eswatini,Djibouti
119,Tajikistan,West Bank and Gaza,Togo,"Iran, Islamic Rep.",Guinea,China,"Iran, Islamic Rep.",Madagascar,Jamaica,Spain,Belarus,Maldives,Bangladesh,Montenegro,Eswatini,"Gambia, The",Nigeria,India,Botswana,Lesotho
120,"Venezuela, RB",Nigeria,Tajikistan,Uzbekistan,Guinea-Bissau,Lao PDR,Burundi,Malawi,Italy,Iceland,"Iran, Islamic Rep.",India,"Korea, Rep.",Fiji,North Macedonia,Niger,Eswatini,Australia,Brazil,Eswatini
121,Guinea-Bissau,Pakistan,Burundi,"Venezuela, RB","Venezuela, RB",Uzbekistan,"Venezuela, RB",Burundi,Greece,Greece,"Venezuela, RB","Egypt, Arab Rep.",Pakistan,Maldives,Kosovo,Malawi,Lesotho,Poland,South Africa,South Africa
