,Missing Ratio,Missing Count
1960,100.0,266
1979,100.0,266
1981,100.0,266
1982,100.0,266
1983,100.0,266
1984,100.0,266
1985,100.0,266
1986,100.0,266
1987,100.0,266
1988,100.0,266
1989,100.0,266
1990,100.0,266
1961,100.0,266
1992,100.0,266
1993,100.0,266
1994,100.0,266
1995,100.0,266
1980,100.0,266
1991,100.0,266
1978,100.0,266
1969,100.0,266
1963,100.0,266
1964,100.0,266
1965,100.0,266
1966,100.0,266
1967,100.0,266
1968,100.0,266
1970,100.0,266
1977,100.0,266
1971,100.0,266
1972,100.0,266
1973,100.0,266
1974,100.0,266
1975,100.0,266
1976,100.0,266
1962,100.0,266
2021,99.62406015037594,265
1996,73.68421052631578,196
1998,69.17293233082707,184
1999,68.04511278195488,181
1997,67.29323308270678,179
2020,66.16541353383458,176
2000,62.78195488721805,167
2001,59.3984962406015,158
2006,58.27067669172933,155
2019,57.89473684210527,154
2012,57.5187969924812,153
2014,56.390977443609025,150
2016,56.390977443609025,150
2018,56.015037593984964,149
2005,55.26315789473685,147
2011,55.26315789473685,147
2003,54.88721804511278,146
2010,54.88721804511278,146
2002,54.88721804511278,146
2004,54.51127819548872,145
2013,54.13533834586466,144
2009,54.13533834586466,144
2017,53.75939849624061,143
2008,53.75939849624061,143
2007,51.8796992481203,138
2015,51.50375939849624,137
