,Argentina,Australia,Austria,Belarus,Belgium,Brazil,Canada,Chile,China,Colombia,Czechia,Denmark,"Egypt, Arab Rep.",Estonia,Finland,France,Germany,Greece,India,Indonesia,Ireland,Israel,Italy,Japan,Kazakhstan,"Korea, Rep.",Lebanon,Malaysia,Mexico,Mongolia,Netherlands,New Zealand,Norway,Pakistan,Philippines,Poland,Portugal,Russian Federation,Saudi Arabia,Singapore,South Africa,Spain,Sweden,Switzerland,Thailand,Turkiye,Ukraine,United Arab Emirates,United Kingdom,United States,Total GGDP
2010,409266452483.5545,1119665085528.056,389176133911.3235,26305179006.377964,450128525516.17596,1842640727262.3923,1380079095476.0256,105426391960.02843,4726074032171.279,282981061010.5134,99663640857.14647,265774903617.99973,55862733212.341194,8974942526.589123,233535982217.6453,2170641176064.939,2974709342500.009,294777674771.9261,1351551329695.4116,678074556006.0378,96976226105.59439,187258830909.3269,1999816778092.5703,4672334926200.336,63808407091.71713,981037422765.7502,10449053934.103037,243132835242.61923,1021730271404.6338,2905269605.1078506,699597637204.1611,72130585523.53134,380950628677.7882,77297366584.12346,98475060314.70097,466563238948.0315,236231910507.74106,1232285806247.9883,402810911878.53613,179833059765.3097,398416702473.89813,1422108199783.3398,467204174198.05096,513933953007.6269,334146281824.2925,726488080950.2262,65648465963.50608,203169983061.1003,2278632148440.387,12553846139184.8,50954529321686.67
2011,512190746329.27704,1363165971014.4932,428274904150.3076,28390055577.88944,489313881119.15436,2182435356527.975,1530245613527.9177,246401339727.25314,5862984696431.489,323522291158.90015,109432555011.2785,283940189784.3431,55103588640.275444,10671473084.764988,258048358679.45792,2351148278960.4155,3280650617169.266,280760274064.7052,1470472071740.9355,801886258914.9385,221364701051.1728,216581627427.00217,2148573660467.0896,5056952300920.536,75162863410.51207,997941510509.7317,10852192836.25253,284067399411.765,1045323542533.4639,4206599230.0846753,747391429100.2664,82849835106.10912,455779861154.1308,93188188372.17746,106193956229.66551,514314531119.2114,238695898897.9011,1653312484046.5186,511886739466.5354,209485441413.57953,437399165395.1582,1480710495710.1199,540968882654.2063,633131459237.911,363254430471.2432,784243176078.5073,78722934409.35803,238277586669.10806,2438692188429.175,13013293200206.602,56551856803580.13
2012,527473573164.8597,1375805871726.1318,406167541703.7318,30195441644.47645,463902942729.61975,2056460392197.018,1560145118682.3813,262046095787.29672,6624423361901.87,358272901000.72253,105034547046.35439,278600040550.41583,201717615000.00024,10581903287.724525,241836983391.22733,2202221010943.276,3086250290187.015,240117275607.05408,1474172697477.7412,824247179274.9628,98599741748.35796,206049009518.55658,1953809758316.3818,5088768098740.011,81161041571.43086,962528165896.536,11963766108.40012,292998126651.1262,1137071890707.5264,4967508612.066586,692615092925.5648,86746538581.39856,466045428293.94104,97898573767.9414,251915146470.44376,495236910793.79694,104782266984.07794,1784523814681.0295,516212755124.7529,221285906977.67465,414678760338.9151,1324750738724.9998,520605416218.5843,589085834141.067,389448035208.8436,823320211353.8419,84887214416.21822,261342580198.45044,2475219448446.26,13559063634266.0,57327254199088.07
2013,533311487997.69476,1436082566943.6787,426792470966.28485,34720214352.47746,487874599256.0011,2062815532581.9731,1575701580051.7883,271916463682.6682,7430463401366.145,369085961186.2136,106456696584.585,283594556866.1989,208451330232.55832,11545711822.401411,254076620635.35846,2307426186871.802,3267079068355.401,237020319299.72607,1497632063116.739,819446674772.7803,220751304436.54306,233898870773.2038,2005269337082.3118,4228761853380.121,92334802220.87538,1004107483982.5519,12742012017.32431,308212443301.9138,1206515268301.1768,5414087356.583861,724193883935.6931,93983306939.45427,478169973242.5535,100880660860.18854,273057644041.15662,515764728216.16095,115662414669.31871,1706287837460.07,523698295163.704,230651512802.6855,382685788578.3339,1355579535912.5498,552981048679.2103,624594178610.884,411758405806.1572,895527124497.584,88562897447.76703,271948490963.49216,2548363895867.6045,14050589926360.602,58884442519850.24
2014,508477436792.1354,1336933688607.3596,439088395245.2743,36230722240.80597,513921053105.76416,2048789882107.9468,1540846371272.8005,254424622129.44736,8133320219549.569,368116187517.8333,105286557697.21786,300609376685.64014,220853802008.60803,12243688398.755873,257354064706.76965,2343604459337.1094,3402956419645.58,118411895148.36537,1644760198185.0154,805920109059.4985,240044090958.34787,255173144313.14212,2024073402495.9607,3972931561063.1235,91178932887.07011,1208383462603.738,13072279096.289919,322308275902.10486,1245242965442.682,5261069284.913649,736573889830.8489,99106634681.85744,455895672964.82385,224689837206.367,286119387061.7783,539087652559.83496,117433923324.53836,1664073432313.14,524528965866.6843,236106882021.93988,363892441088.27075,1371820537888.6199,548384693442.5145,636810389008.2571,399029729197.8401,877920707744.8027,62065735948.58106,281384596712.68005,2869662034346.3438,14640777401150.8,60705182877849.39
2015,574587284637.7041,1230410895249.186,368945932365.6515,24473127360.919247,443795918290.3405,1657316338092.518,1358053942149.4546,234809506073.22266,8588189811216.037,289813231165.3821,89635355154.22527,249826352676.99573,245147543126.68463,10522883332.842321,104860322364.22887,2001598200579.1472,2937887504432.615,98409245729.99728,1782580313424.9243,797409277940.7826,270242159218.68243,246311709932.2501,1719460225094.8867,3550610604788.9863,79471414256.09616,1112082161396.6228,13570794024.118696,287311624478.3001,1060188625136.4772,5000039698.031804,632056879435.74,87661139141.1985,352892677846.43945,248776363099.22668,294739898056.69226,477111287969.2269,96626364638.22821,1101829047371.335,453736064379.32526,230972309128.6002,342375918077.8309,1196156971279.6897,475959293165.876,590208693878.5978,401296437424.99493,808136086759.3746,42320293050.48822,259600131708.6324,2747614009245.051,15580712550147.8,57853304759191.66
2016,538631062564.17786,1176130471975.5378,382339299293.1249,20687772165.25936,456972640786.91425,1651325875404.5745,1333175412314.2327,241395950307.88544,8721515903122.762,279289699713.6518,93562895090.34032,258445888056.05536,247436370552.14725,11066279618.533192,225434216221.09732,2029314541168.2314,3036121780952.3384,97134202918.56862,1900551687457.5618,863198002437.8423,277018202313.19653,269922138344.1677,1757314513962.7446,3898365239619.718,59166955956.2777,1168736944627.7559,13901838524.754282,287216949883.085,978298870089.3188,4811335103.57153,647320291206.21,92965116026.5221,338066959142.85724,288382655221.3902,306455219203.8394,470022572790.9099,100034113408.90794,1031771557909.1448,447262895474.95795,239092438146.94174,311062750450.07855,1233554967011.6797,485901396925.7541,584917510405.5769,413366150655.59094,813162917941.7903,45847128470.95841,258884909223.89902,2511223435263.595,15595461464396.4,58493239389822.43
2017,621809653548.4119,1293088117052.5647,413964788745.4017,23723979040.52165,482603855262.0442,1853030062668.4185,1438984274602.9688,267604165281.98178,9557801835561.17,307985183811.51935,104220416151.66345,274132726065.7951,60135665760.86959,12377139831.879395,239363203595.79178,2129580947689.1912,3229493008452.944,100501751784.20474,2026785920209.088,940767641238.7097,311552840648.69775,300209668210.2573,1836633599963.1519,3938752890478.154,71893300056.74843,1265181656184.7642,14412923610.410633,304241548228.0718,1026217493197.6858,4940208784.810637,688442776176.8368,101720876457.31828,364410950884.5451,320786750832.92017,315932898017.83923,524645833884.5819,113069602406.42944,1272110524691.9944,477534456475.1937,257360694786.00928,376680704470.2877,1313245330197.6497,509801967907.42004,591129268373.4502,456356961443.49695,803161505994.6273,55047659463.99146,283515199715.9797,2496097756047.0273,16247994149175.8,62021036333121.28
2018,507028353633.7261,1270319796139.832,451396743820.7428,26023552193.75737,521512774412.246,1721418418632.6602,1505349720703.185,286038387967.57715,10787936345334.129,330020740374.45996,247033436457.41846,294536740024.8701,185861385481.14816,14078183874.20647,258145402055.23138,2290259214699.509,3477637935642.15,106639667018.05762,2066119477173.3755,942943054106.5472,357269313754.2907,315667499251.64526,1958467137471.1465,4024222904029.0425,73852209883.09435,1343827219136.7566,16042223897.27272,343722356323.2634,1157253845878.8408,5670534045.9034,754634262561.0836,104344516562.78305,399723618813.40295,333977049364.75433,333592726177.7458,588782567765.8718,242313116577.96698,1339288087080.9834,572748282314.7395,275020147872.18256,399107694754.7104,1421702715218.0398,523405596552.28394,635960980860.7029,500420183486.9485,727871227398.5172,64280594555.24728,300813620005.9986,2615089041051.1533,17128676409670.4,66148047012061.6
2019,432575727966.16473,1238247462594.763,441108668809.35364,27921582058.514202,514344058587.6186,1682200440613.5142,1413296806399.798,269753597063.64453,11378254200483.26,319070670998.7067,250553049343.17432,286000058313.5335,225583088268.793,14288350307.66641,251410516761.3976,2239310924446.8447,3402197781431.365,103223752789.43927,2164438518894.2805,961642516800.3293,369851760051.95764,337270290412.84595,1867091831171.5217,4092506539426.683,74810548873.10779,1319156638439.2786,15180884151.737444,357725563017.5016,1225738466207.541,6112996280.630128,751456453352.6576,105073839479.53554,362422520454.5458,300948918999.6342,362428629319.8245,596054591863.3119,239986922638.90198,1368205346034.8413,563656448124.4243,273907357462.2492,383675304684.2214,1394320055129.4097,503074680354.28015,637978843295.5146,537280042982.3882,710541460114.3855,72432719635.06348,294431959989.7776,2657635210165.8984,18246525019954.6,67642903615000.43
2020,372470411013.3928,1282980634066.2317,431786958620.2336,26604383300.54109,504150817045.43835,1300806858643.9348,1334932010560.2104,249568103788.64273,11703138557848.379,266921235126.24533,244031359640.67606,302507437998.63763,271857548346.84955,14420970844.800438,254572281443.94635,2144722371829.5408,3403460283387.1675,95010883356.62024,2039180670353.2446,931328656519.5701,394424383521.8257,346318306816.0154,1760757946399.2893,4026038073962.387,73822046768.48433,1313477090126.6484,9266283875.759222,323574545022.00574,928573854371.6226,5728575980.144762,751125486075.7186,104236910255.2348,331302801872.7323,281739190299.75977,347932223650.1659,599449188399.1079,115180122655.89876,1031383523244.5338,493342203833.5001,251893383779.08267,326917136278.1037,1276962685648.2498,515489148382.4659,648534287752.4606,493435735068.0808,673470559391.5337,73720027383.84473,253717409134.61774,2515827440713.9966,17973008181334.2,65415101185731.78
