,x1,x3,x4,x5,x6,x7,x8,x13,y,y_pred
1994,3831732.0,448.19,7571.0,6212.7,6370241.0,525.71,985.31,5321.0,64.87,44.541361133897794
1995,3913824.0,549.97,9038.16,7601.73,6467115.0,618.25,1259.2,6529.0,99.75,87.18127240039496
1996,3928907.0,686.44,9905.31,8092.82,6560508.0,638.94,1468.06,7008.0,88.11,98.24956964727255
1997,4282130.0,802.59,10444.6,8767.98,6664862.0,656.58,1678.12,7694.0,106.07,106.06529182385714
1998,4453911.0,904.57,11255.7,9422.33,6741400.0,758.83,1893.52,8027.0,137.32,143.08306752296278
1999,4548852.0,1000.69,12018.52,9751.44,6850024.0,878.26,2139.18,8549.0,188.14,174.0397458151259
2000,4962579.0,1121.13,13966.53,11349.47,7006896.0,923.67,2492.74,9566.0,219.91,200.67178191845937
2001,5029338.0,1248.29,14694.0,11467.35,7125979.0,978.21,2841.65,10473.0,271.91,210.70567438143757
2002,5070216.0,1370.68,13380.47,10671.78,7206229.0,1009.24,3203.96,11469.0,269.1,199.3086597500079
2003,5210706.0,1494.27,15002.59,11570.58,7251888.0,1175.17,3758.62,12360.0,300.55,269.85612245247245
2004,5407087.0,1677.77,16884.16,13120.83,7376720.0,1348.93,4450.55,14174.0,338.45,343.2137077565613
2005,5744550.0,1905.84,18287.24,14468.24,7505322.0,1519.16,5154.23,16394.0,408.86,412.2951021095245
2006,5994973.0,2199.14,19850.66,15444.93,7607220.0,1696.38,6081.86,17881.0,476.72,491.78766943604603
2007,6236312.0,2624.24,22469.22,18951.32,7734787.0,1863.34,7140.32,20058.0,838.99,614.2535278143941
2008,6529045.0,3187.39,25316.72,20835.95,7841695.0,2105.54,8287.38,22114.0,843.14,748.8535681420751
2009,6791495.0,3615.77,27609.59,22820.89,7946154.0,2659.85,9138.21,24190.0,1107.67,958.4426768658984
2010,7110695.0,4476.38,30658.49,25011.61,8061370.0,3263.57,10748.28,29549.0,1399.16,1215.8034488992942
2011,7431755.0,5243.03,34438.08,28209.74,8145797.0,3412.21,12423.44,34214.0,1535.14,1364.0575967660072
2012,7512997.0,5977.27,38053.52,30490.44,8222969.0,3758.39,13551.21,37934.0,1579.68,1549.014761350314
2013,7599295.0,6882.85,42049.14,33156.83,8323096.0,4454.55,15420.14,41972.0,2088.14,1854.8242202957995
2014,8142148.24,7042.31,43611.84,35046.63,8505522.58,4600.4,18686.28,44506.47,,1939.5946146935958
2015,8460489.28,8166.92,47792.22,38384.22,8627139.31,5214.78,21474.47,49945.88,,2251.104306674496
